index,clean_text
375,very bad product mobile heating problem charging very slow 
376,Everything is fine apart from battery backup 
377,"just loved it its around weeks that I am using this phone and there is no issue, let see how it works in the long run "
378,good performance
379,"the mobile is good starting I faced some heating and charging problems, but after the update its working well and all camera heating, etc. all problems were solved and I'm typing review of this phone"
380,very good and worth it 
381,nice
382,so nice on average mobile
383,not good
384,not satisfied with the phone  but not working misguided by amazon as well as Lenovo saying that it is a vote phone whenever wifi starts call disconnect even Lenovo not responding
385,needs frequent charging and call drop problem 
386,"very bad product only hardware is good, but software has many defects, user interface system is not good conference call call waiting not working auto brightness is malfunctioning auto focus not good there is no option for multiple delete contact contact management functions lack there is less option of modification gesture lack of customer support of Lenovo "
387,at the time of charging it becoming hot 
388,"great combination, but the dual camera is not that much effective "
389,awesome phone
390,really good 
391,get hot after minute of gameplay or internet usage unacceptably hot worst phone lost my money on this phone do not waste your hard earned money they would t even return this item amazon should at least give replacement but no options I feel cheated 
392,I design t got any cashback of on using sbi debit card
393,"my brother liked it very much, he is happy with the mobile and its features thanks Lenovo and thanks amazon "
394,best smartphone in this price segment such a great feature 
395,awesome phone in such a price
396,good one
397,"pathetic phone here is why this one is a flop show don't even think of buying this so called phone even a brick is better takes hours to fully charge sometimes charges in half an hour once I was stuck at percent for nearly mins phone doesn't allow you to answer a call sometimes the screen just freezes, doesn't latch on to network properly you get lots of missed calls alerts some apps such as trucaller don't work well this is the last lennovo device I ever buy "
398,battery drains very fast when I'm using continuously the battery drains from to within hrs being the battery mAh
399,swipe to unlock unlocks the phone without even asking password 
400,mobile is not working
401,its the best phone I've ever used since I am born
402,nice phone at this price range deca core processor was awesome it loads games quickly I received an update for slow motion recording hope receive an update for k recording only drawback is the camera quality is lower than redeemed note and moto g s plus this phone doesn't sense the natural color of images properly than its competitors battery life is average don't expect too much life as me I hope Lenovo might solve this probes through update my rating was 
403,not satisfied over heating
404,this is really an awesome mobile phone 
405,"mobile is good, but not received a proper bill and there is no email, no mentioned on the bill"
406,The phone is good but features are not well old features and functions in this phone
407,"everything is excellent and excellent features, but lens used in camera are poor quality when the image is zoomed it will show lots of noise better if they will update camera feature "
408,too much heating problem almost feels like burning my ear while talking no turbo charging Lenovo and amazon are just fooling and looting our money please don't buy this product 
409,I want an invoice for mobile variant 
410,"Awesome, just updated to oreo "
411,I want my mobile invoice by mail
412,very worst back camera front was perfect and battery was not to be expected level flash light is also not good
413,Bhul sea mat Lena Koi bhi ye mobile battery backup bilkul kharab hai agar kahi Bahar nikle to see junta me battery low ho jayega
414,great mobile with deca core and good ram
415,"good price, good phone"
416,if you have this then you become a photographer
417,"few cons to consider this product heats a lot during gaming GPs navigation camera and charging switch off, switch on time reboot times bit more "
418,"Nice, but if you can afford extra than you should go for moto g s plus"
419,Worst experience ever not expect from lenovothis phone has hardware issue and heating problem as well as battery low backup turbocharger takes and half hour to chargewrost experience ever
420,good Mobil
421,this phone has whatever I need plus its in budget 
422,USB data cable is not working
423,The device is getting heated with any application usage for more than mins
424,"this device running smoothly for months after that hanging problem egg, then the data is, book can't open very slowly change and many more problems with this device "
425,I'm loving it so far great specs awesome performance the best in its price range for sure the only complaint if any is that it uses only one of its dual cameras for normal photos and so takes like seconds to focus on a page
426,very amazing phone in this price
427,bad phone
428,Awesome
429,"all of sudden phone is SIM slot isn't working I think it's a hardware problem, kindly fix it as soon as possible "
430,"excellent mobile camera clarity, superb front, back displays clarity, fine battery ok signal issue is very high OS speed ok better than my note overall performance is good"
431,"budget phone average battery, fast charger saved the show front camera is a good rear camera in normal mode is good, but struggles in depth enabled mode dual SIM plus dedicated memory slot is added advantage a bit of android glitches were observed but nothing to worry looks are good venom black color is quite impressive "
432,this phone is amazing its camera is too good perfect for Silvia 
433,got scratch in gorilla glass after day use can I get a replacement 
434,it is really a nice phone 
435,NYC product
436,"The phone is nice, but I think my y is best price difference also big between them "
437,"A camera, decent performance good heating issue battery backup not good"
